start	end	type	var
3167	3168	IS_AST_PARENT	
3166	3167	IS_AST_PARENT	
3165	3166	IS_AST_PARENT	
3165	3169	IS_AST_PARENT	
3165	3170	IS_AST_PARENT	
3172	3173	IS_AST_PARENT	
3172	3174	IS_AST_PARENT	
3171	3172	IS_AST_PARENT	
3165	3171	IS_AST_PARENT	
3175	3172	FLOWS_TO	
3172	3167	FLOWS_TO	
3167	3176	FLOWS_TO	
3172	3177	DEF	
3167	3177	USE	
3172	3167	REACHES	__x
3175	3172	CONTROLS	
3175	3167	CONTROLS	
3172	3167	DOM	
3175	3172	DOM	
3167	3176	DOM	
3175	3175	DOM	
3176	3167	POST_DOM	
3167	3172	POST_DOM	
3176	3176	POST_DOM	
3172	3175	POST_DOM	
3164	3165	IS_FUNCTION_OF_AST	
3164	3175	IS_FUNCTION_OF_CFG	
3163	3164	IS_FILE_OF	
