start	end	type	var
4004	4005	IS_AST_PARENT	
4003	4004	IS_AST_PARENT	
4002	4003	IS_AST_PARENT	
4002	4006	IS_AST_PARENT	
4002	4007	IS_AST_PARENT	
4009	4010	IS_AST_PARENT	
4009	4011	IS_AST_PARENT	
4008	4009	IS_AST_PARENT	
4002	4008	IS_AST_PARENT	
4012	4009	FLOWS_TO	
4009	4004	FLOWS_TO	
4004	4013	FLOWS_TO	
4009	4014	DEF	
4004	4014	USE	
4009	4004	REACHES	__x
4012	4009	CONTROLS	
4012	4004	CONTROLS	
4012	4012	DOM	
4004	4013	DOM	
4009	4004	DOM	
4012	4009	DOM	
4013	4013	POST_DOM	
4009	4012	POST_DOM	
4013	4004	POST_DOM	
4004	4009	POST_DOM	
4001	4002	IS_FUNCTION_OF_AST	
4001	4012	IS_FUNCTION_OF_CFG	
4000	4001	IS_FILE_OF	
