start	end	type	var
673	674	IS_AST_PARENT	
672	673	IS_AST_PARENT	
671	672	IS_AST_PARENT	
671	675	IS_AST_PARENT	
671	676	IS_AST_PARENT	
678	679	IS_AST_PARENT	
678	680	IS_AST_PARENT	
677	678	IS_AST_PARENT	
671	677	IS_AST_PARENT	
681	678	FLOWS_TO	
678	673	FLOWS_TO	
673	682	FLOWS_TO	
678	683	DEF	
673	683	USE	
678	673	REACHES	__x
681	678	CONTROLS	
681	673	CONTROLS	
681	678	DOM	
678	673	DOM	
681	681	DOM	
673	682	DOM	
673	678	POST_DOM	
682	673	POST_DOM	
678	681	POST_DOM	
682	682	POST_DOM	
670	671	IS_FUNCTION_OF_AST	
670	681	IS_FUNCTION_OF_CFG	
669	670	IS_FILE_OF	
