start	end	type	var
908	909	IS_AST_PARENT	
907	908	IS_AST_PARENT	
911	912	IS_AST_PARENT	
910	911	IS_AST_PARENT	
913	914	IS_AST_PARENT	
910	913	IS_AST_PARENT	
915	916	IS_AST_PARENT	
910	915	IS_AST_PARENT	
917	918	IS_AST_PARENT	
910	917	IS_AST_PARENT	
907	910	IS_AST_PARENT	
906	907	IS_AST_PARENT	
905	906	IS_AST_PARENT	
904	905	IS_AST_PARENT	
904	919	IS_AST_PARENT	
904	920	IS_AST_PARENT	
922	923	IS_AST_PARENT	
922	924	IS_AST_PARENT	
921	922	IS_AST_PARENT	
925	926	IS_AST_PARENT	
925	927	IS_AST_PARENT	
921	925	IS_AST_PARENT	
928	929	IS_AST_PARENT	
928	930	IS_AST_PARENT	
921	928	IS_AST_PARENT	
904	921	IS_AST_PARENT	
931	922	FLOWS_TO	
922	925	FLOWS_TO	
925	928	FLOWS_TO	
928	906	FLOWS_TO	
906	932	FLOWS_TO	
922	933	DEF	
906	933	USE	
911	933	USE	
928	934	DEF	
906	934	USE	
917	934	USE	
925	935	DEF	
906	935	USE	
915	935	USE	
906	936	USE	
913	936	USE	
906	937	USE	
922	906	REACHES	whereto
928	906	REACHES	ap_save
925	906	REACHES	format
931	922	CONTROLS	
931	925	CONTROLS	
931	928	CONTROLS	
931	906	CONTROLS	
931	922	DOM	
906	932	DOM	
931	931	DOM	
925	928	DOM	
922	925	DOM	
928	906	DOM	
925	922	POST_DOM	
932	932	POST_DOM	
922	931	POST_DOM	
906	928	POST_DOM	
928	925	POST_DOM	
932	906	POST_DOM	
903	904	IS_FUNCTION_OF_AST	
903	931	IS_FUNCTION_OF_CFG	
902	903	IS_FILE_OF	
